accession,H7,H12,H10
>MT407041,1.0,0.37021276595744684,0.9651063829787236
>GQ907286,1.0,0.3488372093023256,0.9767441860465116
>MF146658,1.0,0.3658901474674075,0.9702927976063258
>MK327718,0.8831658291457286,1.0,0.8808626465661643
>MK327694,0.8837939698492461,1.0,0.8808626465661643
>MK327702,0.8831658291457286,1.0,0.8808626465661643
>MK326656,0.8831658291457286,1.0,0.8808626465661643
>MK327734,0.8831658291457286,1.0,0.8808626465661643
>MK327726,0.8831658291457286,1.0,0.8808626465661643
>MK327686,0.8831658291457286,1.0,0.8808626465661643
>MK327758,0.8830433871305805,1.0,0.8811569901488159
>KY644423,0.8857681827709076,1.0,0.8796897924963321
>KJ195668,0.8889821615949632,1.0,0.8831059811122771
>KY644472,0.8838951310861424,1.0,0.875364128173117
>KX960412,0.884079084287201,1.0,0.8765868886576483
>KX960458,0.8860416666666668,1.0,0.8768750000000001
>KY644351,0.8847514042022053,1.0,0.8772623257749117
>KX960451,0.8851196670135277,1.0,0.8765868886576483
>KY644236,0.883416458852868,1.0,0.8746882793017458
>KY644232,0.8810867293625916,1.0,0.8819226750261233
>KY673155,0.8844472204871955,1.0,0.8761190922340204
>KY644258,0.8810867293625916,1.0,0.8819226750261233
>MN431050,0.8757607555089194,1.0,0.8862539349422877
>KX024583,0.8933644265422938,1.0,0.8855204579181681
>KY635719,0.5595675675675676,1.0,0.731891891891892
>KY635680,0.5538527951651198,1.0,0.7280379883444852
>MK592493,1.0,0.3563724411182038,0.9810697776799472
>AB780369,1.0,0.35281195079086114,0.9795694200351492
>CY146764,1.0,0.3628221930974224,0.9862385321100916
>MF146196,1.0,0.3693693693693694,0.9824109824109825
>KX602668,0.8880660177740162,1.0,0.8738891239949217
>CY133553,0.8950944998938204,1.0,0.8870248460394992
>JN696316,0.8910766652702138,1.0,0.8839547549224969
>MF146224,1.0,0.3720682302771854,0.9776119402985074
>MF575060,1.0,0.3699446573009791,0.9750957854406128
>MF145850,0.5635172268019446,1.0,0.735573874445149
>MF147992,0.5638477801268499,1.0,0.736786469344609
>MF146641,0.5638477801268499,1.0,0.736786469344609
>MF147328,0.5638477801268499,1.0,0.736786469344609
>MF145790,0.5639780405405405,1.0,0.7337415540540541
>MF145787,0.5639780405405405,1.0,0.7337415540540541
>CY130094,0.8925707049387926,1.0,0.8756859434360489
>AB289335,0.8856483424255138,1.0,0.8724297104490137
>CY076968,1.0,0.3501084598698482,0.9791757049891541
>CY184023,1.0,0.3494367417677643,0.9705372616984402
>CY184031,1.0,0.34754240974336664,0.9795563288386256
>CY183999,1.0,0.3484221980413494,0.9793253536452668
>CY184039,1.0,0.3515912535180775,0.9744533448798441
>CY184047,1.0,0.35245545415036944,0.9813124728378967
>CY184055,1.0,0.36678276012189803,0.9856334349151065
>CY184063,1.0,0.35357917570498926,0.9811279826464209
>CY133266,0.8940327033340413,1.0,0.8868124867275432
>MK301259,1.0,0.3475005505395288,0.9797401453424356
>CY146897,0.893115172120697,1.0,0.8863153421164472
>MK928228,0.8790910986032939,1.0,0.8822180529497603
>CY167267,0.89328231292517,1.0,0.8824404761904762
>CY133381,0.8931687593104913,1.0,0.8859331772717597
>MG280044,0.8885390428211585,1.0,0.8807724601175481
>CY014636,1.0,0.35889311364596543,0.9792986903253065
>CY029873,1.0,0.35007577397705125,0.9902576315219745
>GQ907334,1.0,0.34959703768242223,0.978000435634938
>GQ907342,1.0,0.34992392958052604,0.9780482503803519
>CY130102,0.5547045951859957,1.0,0.7564551422319474
>MK071380,0.7035476718403547,1.0,0.348780487804878
>MK071396,0.7082686765683883,1.0,0.35335845710485475
>CY006033,0.561874334398296,1.0,0.7522896698615549
>CY098540,0.5579520697167756,1.0,0.7318082788671024
>CY185887,0.5547045951859957,1.0,0.7564551422319474
>CY006034,0.562340425531915,1.0,0.752553191489362
>CY006010,0.561874334398296,1.0,0.7522896698615549
>GQ907350,1.0,0.36153680120872006,0.9781998704942803
>KC876691,1.0,0.35149687701916854,0.9704932155933662
>MH498655,0.7049399198931907,1.0,0.37116154873164214
>MH498733,0.7049399198931907,1.0,0.37116154873164214
>MH498637,0.7041564792176037,1.0,0.3725272282729495
