serotype,,N1,N1,N1,N1,N1,N2,N2,N2,N2,N2,error
accession,,>MN054513,>KY487463,>KY487350,>KY615395,>KX230400,>MN247986,>CY250117,>MK979314,>KT888802,>KT888670,>MH346657
serotype,accession,,,,,,,,,,,
N1,>MN054513,0.0,0.003896103896103842,0.0051948051948051965,0.0051948051948051965,0.004545454545454519,0.5318181818181817,0.5279220779220779,0.5025974025974026,0.5136363636363637,0.5149350649350649,0.009740259740259716
N1,>KY487463,0.003896103896103842,0.0,0.0025974025974025983,0.0032467532467532756,0.001948051948051921,0.5331168831168831,0.5292207792207793,0.5025974025974026,0.5149350649350649,0.5162337662337662,0.009740259740259716
N1,>KY487350,0.0051948051948051965,0.0025974025974025983,0.0,0.004545454545454519,0.0032467532467532756,0.5324675324675325,0.5285714285714286,0.5038961038961038,0.5142857142857142,0.5155844155844156,0.01103896103896107
N1,>KY615395,0.0051948051948051965,0.0032467532467532756,0.004545454545454519,0.0,0.003896103896103842,0.5331168831168831,0.5292207792207793,0.5025974025974026,0.5149350649350649,0.5162337662337662,0.01103896103896107
N1,>KX230400,0.004545454545454519,0.001948051948051921,0.0032467532467532756,0.003896103896103842,0.0,0.5331168831168831,0.5292207792207793,0.5038961038961038,0.5149350649350649,0.5162337662337662,0.010389610389610393
N2,>MN247986,0.5318181818181817,0.5331168831168831,0.5324675324675325,0.5331168831168831,0.5331168831168831,0.0,0.01558441558441559,0.22012987012987018,0.051948051948051965,0.04155844155844157,0.5305194805194805
N2,>CY250117,0.5279220779220779,0.5292207792207793,0.5285714285714286,0.5292207792207793,0.5292207792207793,0.01558441558441559,0.0,0.21883116883116882,0.04350649350649349,0.0331168831168831,0.5266233766233765
N2,>MK979314,0.5025974025974026,0.5025974025974026,0.5038961038961038,0.5025974025974026,0.5038961038961038,0.22012987012987018,0.21883116883116882,0.0,0.19090909090909092,0.19090909090909092,0.5025974025974026
N2,>KT888802,0.5136363636363637,0.5149350649350649,0.5142857142857142,0.5149350649350649,0.5149350649350649,0.051948051948051965,0.04350649350649349,0.19090909090909092,0.0,0.010389610389610393,0.512987012987013
N2,>KT888670,0.5149350649350649,0.5162337662337662,0.5155844155844156,0.5162337662337662,0.5162337662337662,0.04155844155844157,0.0331168831168831,0.19090909090909092,0.010389610389610393,0.0,0.5142857142857142
error,>MH346657,0.009740259740259716,0.009740259740259716,0.01103896103896107,0.01103896103896107,0.010389610389610393,0.5305194805194805,0.5266233766233765,0.5025974025974026,0.512987012987013,0.5142857142857142,0.0
