accession,H16,H13
>GQ907302,1.0,0.31926229508196724
>MH498778,1.0,0.7891517128874387
>MF682848,1.0,0.9621549421193231
>MF146968,1.0,0.2736116740980949
>KX977814,1.0,0.3002012072434607
>KX979327,1.0,0.9424201529464689
>KX978155,1.0,0.29710144927536225
>KX978913,1.0,0.9493108048021343
>KX979541,1.0,0.9422222222222224
>KX978076,1.0,0.9534675615212526
>KX978980,1.0,0.959641255605381
>KX979063,1.0,0.9424201529464689
>MF146087,1.0,0.29907295445384924
>KX978876,1.0,0.9487410071942446
>KX979544,1.0,0.9534675615212526
>KX979380,1.0,0.9533632286995513
>MF682844,1.0,0.9493954321540531
>MF147735,1.0,0.2979066022544284
>KX978929,1.0,0.9424201529464689
>KX977869,1.0,0.2969379532634971
>MF145955,1.0,0.29528035498184757
>MF575207,1.0,0.9481981981981981
>KX979279,1.0,0.2892728003214141
>KR087564,0.968046804680468,1.0
>MF147289,1.0,0.958688819039066
>MF682666,1.0,0.2984229680549939
>MF147869,1.0,0.9568733153638812
>KX979026,1.0,0.2911493792551062
>CY185569,0.9631417288284333,1.0
>CY185489,0.9751131221719458,1.0
>CY077000,1.0,0.3044019933554818
>CY184488,1.0,0.32878411910669963
>MF461180,1.0,0.9617097061442563
>MH201562,1.0,0.9573063380281693
>MH499037,1.0,0.796281325788197
>LC339627,0.9659345584939489,1.0
>AB284988,0.9829596412556056,1.0
>AB285094,0.9787330316742081,1.0
>MK696134,1.0,0.7940239043824703
>MH499238,1.0,0.7916157916157914
>MH498654,1.0,0.41517857142857134
>MH596987,1.0,0.7760459392945035
>KR010435,0.9706009511456983,1.0
>MN210139,0.9608963093145868,1.0
>KY131017,1.0,0.35642737896494153
>KY131040,1.0,0.35985006247396933
>KY131056,1.0,0.36329588014981284
>KY131072,1.0,0.3612608875985069
>KY131080,1.0,0.3577675968346522
>KY131112,1.0,0.3577675968346522
>KY131120,1.0,0.3577675968346522
>KY131128,1.0,0.3577675968346522
>KY131136,1.0,0.3599334995843724
>KY131144,1.0,0.3606010016694491
>CY196611,0.9244211446046311,1.0
>CY213636,1.0,0.7897750511247442
>CY213535,1.0,0.785127362366475
>CY213663,1.0,0.7875051376900946
>MN210163,0.9580052493438319,1.0
>MN210171,0.9553805774278215,1.0
>MN210179,0.9582601054481543,1.0
>MN210195,0.956787429070275,1.0
>MN210203,0.956787429070275,1.0
>MN210211,0.956787429070275,1.0
>MN210220,0.956787429070275,1.0
>MN210228,0.956787429070275,1.0
>MN210236,0.9563509384548233,1.0
>MN210252,0.9572984749455338,1.0
>CY130340,0.947577092511013,1.0
>CY130086,1.0,0.9293333333333333
>AB292664,1.0,0.9323671497584541
>CY014694,1.0,0.8670098670098669
>D90308,1.0,0.935344827586207
>CY195663,1.0,0.803305118903668
>KF612959,1.0,0.9348013816925733
>MK637080,1.0,0.7852028639618138
>MH499142,1.0,0.7936507936507936
>MH499186,1.0,0.797979797979798
>MH498919,1.0,0.7949029126213593
>MH499244,1.0,0.795638126009693
>MH498862,1.0,0.7940698619008933
>MH498888,1.0,0.794809407948094
>MH498698,1.0,0.8016962843295635
>MH579147,1.0,0.7962813257881972
>MK637221,1.0,0.7853174603174605
>MK637291,1.0,0.7852028639618138
>MK637376,1.0,0.7881322182397452
>MK637356,1.0,0.7852028639618138
>MK637038,1.0,0.7859412231930104
>MK637365,1.0,0.7860538827258323
>MK637396,1.0,0.7852028639618138
>MK637116,1.0,0.7844621513944223
>MK345840,1.0,0.7818329278183294
>MH068359,1.0,0.7705645161290321
>MH068367,1.0,0.7637605464041785
>CY128958,1.0,0.7898431048720068
>KJ907711,0.9496937882764653,1.0
>JX030406,1.0,0.32552600238189766
>GQ907310,0.9625167336010709,1.0
>GQ907318,0.9545049063336308,1.0
>MN783529,1.0,0.7844967532467529
>MK627734,1.0,0.7985347985347985
>CY195647,1.0,0.7865853658536585
>MH764160,1.0,0.7770105605199025
>MH764168,1.0,0.7735163504238999
>MH764229,1.0,0.7745851881829218
>MH764245,1.0,0.7798127798127797
>MH764253,1.0,0.7862377850162866
>MH579205,1.0,0.5642744479495269
>CY145939,1.0,0.7827160493827161
>MH501657,1.0,0.7915322580645159
>MH502664,1.0,0.7817960178789108
>KF772956,1.0,0.5772583201267829
>MH579323,1.0,0.7815495207667731
>MH578653,1.0,0.5640520299566418
>MH499147,1.0,0.8006469874646176
>CY005931,1.0,0.49507680189050807
>CY043888,1.0,0.5731225296442687
>CY043896,1.0,0.5731225296442687
>KJ372720,1.0,0.66532582461786
>MF146200,1.0,0.30443630443630443
>CY185497,0.9617607825700312,1.0
>CY185601,0.9761694616063545,1.0
>CY185609,0.9738010657193605,1.0
>CY185673,0.9629794826048171,1.0
>CY185665,0.9629794826048171,1.0
