serotype,,H1,H1,H1,H1,H1,H10,H10,H10,H10,H10,error
accession,,>KX714426,>MF046481,>CY206806,>MH134813,>MH341830,>MG366506,>CY190715,>CY136920,>CY094789,>KP286341,>MK237334
serotype,accession,,,,,,,,,,,
H1,>KX714426,0.0,0.06291759465478841,0.04454342984409798,0.061247216035634766,0.045100222717149197,0.48775055679287305,0.4626948775055679,0.4626948775055679,0.46436525612472157,0.4927616926503341,0.053452115812917644
H1,>MF046481,0.06291759465478841,0.0,0.059020044543429795,0.07405345211581293,0.05623608017817372,0.4660356347438753,0.4610244988864143,0.4576837416481069,0.46046770601336307,0.4626948775055679,0.0657015590200446
H1,>CY206806,0.04454342984409798,0.059020044543429795,0.0,0.04899777282850781,0.03285077951002224,0.4894209354120267,0.47104677060133626,0.4721603563474388,0.47048997772828505,0.4894209354120267,0.03563474387527843
H1,>MH134813,0.061247216035634766,0.07405345211581293,0.04899777282850781,0.0,0.042873051224944336,0.5116926503340757,0.4860801781737194,0.4899777282850779,0.48440979955456576,0.5111358574610245,0.026726057906458767
H1,>MH341830,0.045100222717149197,0.05623608017817372,0.03285077951002224,0.042873051224944336,0.0,0.49443207126948774,0.47327394209354123,0.4760579064587973,0.47271714922049,0.4922048997772829,0.036191536748329645
H10,>MG366506,0.48775055679287305,0.4660356347438753,0.4894209354120267,0.5116926503340757,0.49443207126948774,0.0,0.18541202672605794,0.1837416481069042,0.18596881959910916,0.06848552338530067,0.5038975501113585
H10,>CY190715,0.4626948775055679,0.4610244988864143,0.47104677060133626,0.4860801781737194,0.47327394209354123,0.18541202672605794,0.0,0.09910913140311806,0.03229398663697103,0.1876391982182628,0.482739420935412
H10,>CY136920,0.4626948775055679,0.4576837416481069,0.4721603563474388,0.4899777282850779,0.4760579064587973,0.1837416481069042,0.09910913140311806,0.0,0.1007795100222717,0.18151447661469933,0.4821826280623608
H10,>CY094789,0.46436525612472157,0.46046770601336307,0.47048997772828505,0.48440979955456576,0.47271714922049,0.18596881959910916,0.03229398663697103,0.1007795100222717,0.0,0.18541202672605794,0.48106904231625836
H10,>KP286341,0.4927616926503341,0.4626948775055679,0.4894209354120267,0.5111358574610245,0.4922048997772829,0.06848552338530067,0.1876391982182628,0.18151447661469933,0.18541202672605794,0.0,0.5005567928730512
error,>MK237334,0.053452115812917644,0.0657015590200446,0.03563474387527843,0.026726057906458767,0.036191536748329645,0.5038975501113585,0.482739420935412,0.4821826280623608,0.48106904231625836,0.5005567928730512,0.0
