serotype,,N2,N2,N2,N2,N2,N8,N8,N8,N8,N8,error
accession,,>CY257076,>KU591584,>MK640773,>MN570849,>KY509841,>CY028902,>MH637297,>KY013750,>CY196381,>CY138731,>MG925516
serotype,accession,,,,,,,,,,,
N2,>CY257076,0.0,0.002054794520547909,0.002739726027397249,0.006849315068493178,0.004109589041095929,0.489041095890411,0.4835616438356164,0.49178082191780825,0.4835616438356164,0.4821917808219178,0.004794520547945158
N2,>KU591584,0.002054794520547909,0.0,0.00068493150684934,0.004794520547945158,0.002054794520547909,0.489041095890411,0.48287671232876717,0.4931506849315068,0.4835616438356164,0.4815068493150685,0.002739726027397249
N2,>MK640773,0.002739726027397249,0.00068493150684934,0.0,0.005479452054794498,0.00136986301369868,0.48972602739726023,0.4835616438356164,0.49383561643835616,0.48424657534246573,0.4821917808219178,0.003424657534246589
N2,>MN570849,0.006849315068493178,0.004794520547945158,0.005479452054794498,0.0,0.006849315068493178,0.48972602739726023,0.48424657534246573,0.4924657534246575,0.4849315068493151,0.4815068493150685,0.007534246575342518
N2,>KY509841,0.004109589041095929,0.002054794520547909,0.00136986301369868,0.006849315068493178,0.0,0.48972602739726023,0.4835616438356164,0.49383561643835616,0.48424657534246573,0.4821917808219178,0.004794520547945158
N8,>CY028902,0.489041095890411,0.489041095890411,0.48972602739726023,0.48972602739726023,0.48972602739726023,0.0,0.22534246575342465,0.24589041095890407,0.21643835616438356,0.21643835616438356,0.489041095890411
N8,>MH637297,0.4835616438356164,0.48287671232876717,0.4835616438356164,0.48424657534246573,0.4835616438356164,0.22534246575342465,0.0,0.20136986301369864,0.06780821917808222,0.07534246575342463,0.4856164383561644
N8,>KY013750,0.49178082191780825,0.4931506849315068,0.49383561643835616,0.4924657534246575,0.49383561643835616,0.24589041095890407,0.20136986301369864,0.0,0.20342465753424654,0.1931506849315069,0.4945205479452055
N8,>CY196381,0.4835616438356164,0.4835616438356164,0.48424657534246573,0.4849315068493151,0.48424657534246573,0.21643835616438356,0.06780821917808222,0.20342465753424654,0.0,0.07123287671232881,0.48630136986301364
N8,>CY138731,0.4821917808219178,0.4815068493150685,0.4821917808219178,0.4815068493150685,0.4821917808219178,0.21643835616438356,0.07534246575342463,0.1931506849315069,0.07123287671232881,0.0,0.48424657534246573
error,>MG925516,0.004794520547945158,0.002739726027397249,0.003424657534246589,0.007534246575342518,0.004794520547945158,0.489041095890411,0.4856164383561644,0.4945205479452055,0.48630136986301364,0.48424657534246573,0.0
