accession,N7,N6,N8,N9
>CY076167,0.9935194416749756,0.9117647058823531,0.3554336989032903,1.0
>CY097680,0.9950261129072369,0.9122108928127333,0.35115642874906744,1.0
>KY013750,0.9860869565217393,0.9043478260869565,0.35900621118012427,1.0
>KY063862,0.9525415562515059,0.9079739821729707,0.3656950132498194,1.0
>MK071350,0.8312150482968987,0.7231825114387391,1.0,0.3619725470259278
>CY076015,0.993782641134046,0.9112161153941803,0.35961203680676446,1.0
>CY005548,0.7827172827172829,0.7120379620379622,1.0,0.37962037962037976
>AB292786,0.8007117437722419,0.6949669547534316,1.0,0.35027961362480925
>CY014620,0.7875751503006011,0.7181863727454911,1.0,0.3840180360721443
>AB292782,0.8054206085400155,0.7010994630529278,1.0,0.35285093326514966
>EU871830,0.9987515605493135,0.916354556803995,0.34057428214731583,1.0
>EU743137,0.8132790638514373,0.6975324344950394,1.0,0.3530908165861104
>CY097704,0.9945355191256832,0.9078489816194736,0.35270740188772975,1.0
>CY097712,0.9960248447204971,0.9078260869565218,0.35229813664596277,1.0
>CY097720,0.9960248447204971,0.9078260869565218,0.35229813664596277,1.0
>CY097728,0.9945355191256832,0.9078489816194736,0.35394932935916545,1.0
>MK424190,0.8693009118541034,0.44819010776457585,1.0,0.771760154738878
>MK424193,0.8693009118541034,0.44819010776457585,1.0,0.771760154738878
>MK424195,0.8693009118541034,0.44819010776457585,1.0,0.771760154738878
>MK424200,0.8685808945334069,0.4478188845941468,1.0,0.769740474875759
