serotype,,N1,N1,N1,N1,N1,N2,N2,N2,N2,N2,error
accession,,>KY925494,>KY487391,>KY364146,>KY925144,>KY925734,>MT031045,>KX413603,>MK772353,>MN055214,>MK381673,>MH346657
serotype,accession,,,,,,,,,,,
N1,>KY925494,0.0,0.003289473684210509,0.003947368421052588,0.0006578947368420796,0.004605263157894779,0.5125,0.5092105263157894,0.5144736842105263,0.49736842105263157,0.519078947368421,0.009210526315789447
N1,>KY487391,0.003289473684210509,0.0,0.0019736842105263497,0.0026315789473684292,0.0026315789473684292,0.5138157894736842,0.5098684210526316,0.5151315789473685,0.49802631578947365,0.5197368421052632,0.009868421052631526
N1,>KY364146,0.003947368421052588,0.0019736842105263497,0.0,0.003289473684210509,0.003289473684210509,0.5144736842105263,0.5105263157894737,0.5157894736842106,0.49868421052631584,0.5203947368421052,0.010526315789473717
N1,>KY925144,0.0006578947368420796,0.0026315789473684292,0.003289473684210509,0.0,0.003947368421052588,0.5118421052631579,0.5085526315789474,0.5138157894736842,0.4967105263157895,0.5184210526315789,0.008552631578947367
N1,>KY925734,0.004605263157894779,0.0026315789473684292,0.003289473684210509,0.003947368421052588,0.0,0.513157894736842,0.5092105263157894,0.5144736842105263,0.49736842105263157,0.519078947368421,0.010526315789473717
N2,>MT031045,0.5125,0.5138157894736842,0.5144736842105263,0.5118421052631579,0.513157894736842,0.0,0.012499999999999956,0.020394736842105243,0.03223684210526312,0.03486842105263155,0.5105263157894737
N2,>KX413603,0.5092105263157894,0.5098684210526316,0.5105263157894737,0.5085526315789474,0.5092105263157894,0.012499999999999956,0.0,0.014473684210526305,0.02828947368421053,0.02960526315789469,0.5078947368421053
N2,>MK772353,0.5144736842105263,0.5151315789473685,0.5157894736842106,0.5138157894736842,0.5144736842105263,0.020394736842105243,0.014473684210526305,0.0,0.03552631578947374,0.0368421052631579,0.5125
N2,>MN055214,0.49736842105263157,0.49802631578947365,0.49868421052631584,0.4967105263157895,0.49736842105263157,0.03223684210526312,0.02828947368421053,0.03552631578947374,0.0,0.042763157894736836,0.49473684210526314
N2,>MK381673,0.519078947368421,0.5197368421052632,0.5203947368421052,0.5184210526315789,0.519078947368421,0.03486842105263155,0.02960526315789469,0.0368421052631579,0.042763157894736836,0.0,0.5164473684210527
error,>MH346657,0.009210526315789447,0.009868421052631526,0.010526315789473717,0.008552631578947367,0.010526315789473717,0.5105263157894737,0.5078947368421053,0.5125,0.49473684210526314,0.5164473684210527,0.0
