accession,N7,N6,N8,N9
>CY076167,0.9935194416749756,0.9117647058823531,0.3554336989032903,1.0
>CY097680,0.9950261129072369,0.9122108928127333,0.35115642874906744,1.0
>KY013750,0.9860869565217393,0.9043478260869565,0.35900621118012427,1.0
>KY063862,0.9525415562515059,0.9079739821729707,0.3656950132498194,1.0
>MK071350,0.8312150482968987,0.7231825114387391,1.0,0.3619725470259278
>CY076015,0.993782641134046,0.9112161153941803,0.35961203680676446,1.0
>CY005548,0.7827172827172829,0.7120379620379622,1.0,0.37962037962037976
>AB292786,0.8007117437722419,0.6949669547534316,1.0,0.35027961362480925
>CY014620,0.7875751503006011,0.7181863727454911,1.0,0.3840180360721443
>AB292782,0.8054206085400155,0.7010994630529278,1.0,0.35285093326514966
>EU871830,0.9987515605493135,0.916354556803995,0.34057428214731583,1.0
>EU743137,0.8132790638514373,0.6975324344950394,1.0,0.3530908165861104
>CY097704,0.9945355191256832,0.9078489816194736,0.35270740188772975,1.0
>CY097712,0.9960248447204971,0.9078260869565218,0.35229813664596277,1.0
>CY097720,0.9960248447204971,0.9078260869565218,0.35229813664596277,1.0
>CY097728,0.9945355191256832,0.9078489816194736,0.35394932935916545,1.0
>MK424190,0.8693009118541034,0.44819010776457585,1.0,0.771760154738878
>MK424193,0.8693009118541034,0.44819010776457585,1.0,0.771760154738878
>MK424195,0.8693009118541034,0.44819010776457585,1.0,0.771760154738878
>MK424200,0.8685808945334069,0.4478188845941468,1.0,0.769740474875759
>CY032722,0.9612515042117932,0.9133574007220217,0.3646209386281588,1.0
>KX960455,0.9587034813925571,0.9128451380552223,0.36206482593037226,1.0
>KY550765,0.958041958041958,0.9088497709187361,0.361948396431155,1.0
>CY130104,0.804952769977023,0.6951748787337247,1.0,0.3630329333673729
>CY005853,0.7939409113670503,0.7265898848272409,1.0,0.3960941412118177
>MK071422,0.8642954856361149,0.42708618331053344,1.0,0.7562243502051985
>CY005719,0.7914371557336001,0.7143214822233348,1.0,0.38808212318477714
>MK045479,0.8649243466299862,0.44924346629986234,1.0,0.7771664374140301
>CY185889,0.8049029622063331,0.6958631256384067,1.0,0.36159346271705833
>CY005726,0.789764174611139,0.7147516307074763,1.0,0.3883592574009032
>CY005407,0.7911757332664828,0.7139633993482075,1.0,0.38731511657056905
>MH498701,0.8249936499872997,0.731521463042926,1.0,0.3609347218694437
>MK071446,0.8631147540983606,0.4278688524590164,1.0,0.7535519125683061
>MK071454,0.874585635359116,0.44254143646408844,1.0,0.7734806629834254
>KX101186,0.8482045701849835,0.45892274211099016,1.0,0.8122959738846571
>MK163948,0.8709766162310867,0.4407152682255846,1.0,0.7678129298486933
>MK163958,0.8709766162310867,0.4407152682255846,1.0,0.7678129298486933
>MH499170,0.8252156265854897,0.7318619989852866,1.0,0.36073059360730586
>MH488116,0.8703296703296701,0.4403846153846154,1.0,0.7686813186813187
>MH499082,0.8170331058882992,0.7369219105382866,1.0,0.37149355572403336
>MH499004,0.8170331058882992,0.7369219105382866,1.0,0.37149355572403336
>MH488124,0.8728977116073889,0.4452715743038323,1.0,0.7708850289495448
>MH498828,0.8170331058882992,0.7369219105382866,1.0,0.37149355572403336
