accession,N7,N9,N8,N6
>CY076167,0.966093117408907,1.0,0.36133603238866396,0.9127024291497976
>CY097680,0.9681737812578934,1.0,0.3576660772922455,0.9113412477898459
>KY013750,0.96033350176857,1.0,0.36558868115209703,0.9092976250631634
>KY063862,0.9381418092909535,1.0,0.38361858190709053,0.8973105134474328
>MK071350,0.8359979370809697,0.37184115523465705,1.0,0.76250644662197
>CY076015,0.9714357937310414,1.0,0.3660262891809909,0.9148129423660263
>CY005548,0.7877136487490712,0.3864255635372802,1.0,0.7183552142680207
>AB292786,0.8030729833546737,0.35979513444302186,1.0,0.727784891165173
>CY014620,0.7955732404874409,0.39268838597363837,1.0,0.7222084058691867
>AB292782,0.8113402061855668,0.36340206185567003,1.0,0.7306701030927835
>EU871830,0.9779467680608366,1.0,0.3414448669201521,0.9105196451204056
>EU743137,0.8185089974293059,0.3593830334190232,1.0,0.731362467866324
>CY097704,0.9654998740871316,1.0,0.3585998489045581,0.9085872576177286
>CY097712,0.96672548525334,1.0,0.3584572724981093,0.90773884547517
>CY097720,0.96672548525334,1.0,0.3584572724981093,0.90773884547517
>CY097728,0.9654998740871316,1.0,0.3598589775875094,0.9090909090909091
>MK424190,0.8838197789742135,0.8061773873618588,1.0,0.4805894020969113
>MK424193,0.8838197789742135,0.8061773873618588,1.0,0.4805894020969113
>MK424195,0.8838197789742135,0.8061773873618588,1.0,0.4805894020969113
>MK424200,0.8825693265421618,0.8036219581211093,1.0,0.4796264855687606
>CY032722,0.9441190824792582,1.0,0.38140556368960465,0.9009272816007811
>KX960455,0.9422936449963478,1.0,0.3786218651083516,0.8979790601412223
>KY550765,0.9427592954990213,1.0,0.38038160469667315,0.8999510763209393
>CY130104,0.8158899923605807,0.3717850776674307,1.0,0.7191240132416604
>CY005853,0.8028203859475508,0.39807026224641273,1.0,0.7224146462147453
>MK071422,0.8662774534334169,0.7778704475952182,1.0,0.4581595774256325
>CY005719,0.8042616451932606,0.393954410307235,1.0,0.7192765113974233
>MK045479,0.8831828442437925,0.8148984198645599,1.0,0.48053047404063215
>CY185889,0.815796178343949,0.3694267515923567,1.0,0.72
>CY005726,0.8015853356452811,0.39286598959623487,1.0,0.717116670795145
>CY005407,0.8020292006928981,0.39222964612719635,1.0,0.7171492204899779
>MH498701,0.8368136117556072,0.36787831915442126,1.0,0.7703016241299304
>MK071446,0.8650749583564687,0.7756801776790673,1.0,0.45807884508606334
>MK071454,0.882651622002821,0.8050775740479549,1.0,0.4744710860366714
>KX101186,0.8561736770691994,0.8344640434192673,1.0,0.46947082767978293
>MK163948,0.8792569659442725,0.8001688713763015,1.0,0.47368421052631576
>MK163958,0.8792569659442725,0.8001688713763015,1.0,0.47368421052631576
>MH499170,0.8370236869207004,0.3681771369721936,1.0,0.7705973223480946
>MH488116,0.8771781899943789,0.8007307476110174,1.0,0.4735806632939855
>MH499082,0.8326898326898325,0.37966537966537955,1.0,0.7729729729729728
>MH499004,0.8326898326898325,0.37966537966537955,1.0,0.7729729729729728
>MH488124,0.8826689284704551,0.803223070398643,1.0,0.47865422674582986
>MH498828,0.8326898326898325,0.37966537966537955,1.0,0.7729729729729728
