accession,H16,H13
>GQ907302,1.0,0.31926229508196724
>MH498778,1.0,0.7891517128874387
>MF682848,1.0,0.9621549421193231
>MF146968,1.0,0.2736116740980949
>KX977814,1.0,0.3002012072434607
>KX979327,1.0,0.9424201529464689
>KX978155,1.0,0.29710144927536225
>KX978913,1.0,0.9493108048021343
>KX979541,1.0,0.9422222222222224
>KX978076,1.0,0.9534675615212526
>KX978980,1.0,0.959641255605381
>KX979063,1.0,0.9424201529464689
>MF146087,1.0,0.29907295445384924
>KX978876,1.0,0.9487410071942446
>KX979544,1.0,0.9534675615212526
>KX979380,1.0,0.9533632286995513
>MF682844,1.0,0.9493954321540531
>MF147735,1.0,0.2979066022544284
>KX978929,1.0,0.9424201529464689
>KX977869,1.0,0.2969379532634971
