serotype,,N2,N2,N2,N2,N2,N8,N8,N8,N8,N8,error
accession,,>MN573953,>CY252281,>CY100588,>MK839845,>MN638629,>KY014030,>CY032367,>MN759709,>CY087834,>KP284951,>MG925516
serotype,accession,,,,,,,,,,,
N2,>MN573953,0.0,0.009333333333333305,0.07399999999999995,0.016000000000000014,0.026000000000000023,0.4846666666666667,0.4806666666666667,0.496,0.496,0.4726666666666667,0.00666666666666671
N2,>CY252281,0.009333333333333305,0.0,0.06999999999999995,0.018000000000000016,0.03533333333333333,0.4833333333333333,0.4793333333333333,0.494,0.4946666666666667,0.4706666666666667,0.00666666666666671
N2,>CY100588,0.07399999999999995,0.06999999999999995,0.0,0.08133333333333337,0.06000000000000005,0.4926666666666667,0.4986666666666667,0.4953333333333333,0.504,0.5053333333333334,0.07133333333333336
N2,>MK839845,0.016000000000000014,0.018000000000000016,0.08133333333333337,0.0,0.04066666666666663,0.484,0.48,0.496,0.4953333333333333,0.4706666666666667,0.01533333333333331
N2,>MN638629,0.026000000000000023,0.03533333333333333,0.06000000000000005,0.04066666666666663,0.0,0.4766666666666667,0.4846666666666667,0.4946666666666667,0.4873333333333333,0.4886666666666667,0.03266666666666662
N8,>KY014030,0.4846666666666667,0.4833333333333333,0.4926666666666667,0.484,0.4766666666666667,0.0,0.22133333333333338,0.21533333333333338,0.20733333333333337,0.07866666666666666,0.486
N8,>CY032367,0.4806666666666667,0.4793333333333333,0.4986666666666667,0.48,0.4846666666666667,0.22133333333333338,0.0,0.2393333333333333,0.236,0.21799999999999997,0.4793333333333333
N8,>MN759709,0.496,0.494,0.4953333333333333,0.496,0.4946666666666667,0.21533333333333338,0.2393333333333333,0.0,0.11266666666666669,0.22533333333333339,0.4946666666666667
N8,>CY087834,0.496,0.4946666666666667,0.504,0.4953333333333333,0.4873333333333333,0.20733333333333337,0.236,0.11266666666666669,0.0,0.2326666666666667,0.4953333333333333
N8,>KP284951,0.4726666666666667,0.4706666666666667,0.5053333333333334,0.4706666666666667,0.4886666666666667,0.07866666666666666,0.21799999999999997,0.22533333333333339,0.2326666666666667,0.0,0.4733333333333334
error,>MG925516,0.00666666666666671,0.00666666666666671,0.07133333333333336,0.01533333333333331,0.03266666666666662,0.486,0.4793333333333333,0.4946666666666667,0.4953333333333333,0.4733333333333334,0.0
