serotype,,N2,N2,N2,N2,N2,N8,N8,N8,N8,N8,error
accession,,>MK970378,>KT843859,>CY026253,>MN221804,>CY092315,>CY049806,>KX978907,>KP732677,>KX351550,>KX297934,>MG925516
serotype,accession,,,,,,,,,,,
N2,>MK970378,0.0,0.011258278145695355,0.0298013245033113,0.0437086092715232,0.030463576158940353,0.4774834437086093,0.5039735099337748,0.480794701986755,0.5033112582781457,0.48013245033112584,0.01192052980132452
N2,>KT843859,0.011258278145695355,0.0,0.03708609271523178,0.03907284768211916,0.03774834437086094,0.47284768211920525,0.5019867549668875,0.47483443708609274,0.49735099337748345,0.4754966887417219,0.007284768211920478
N2,>CY026253,0.0298013245033113,0.03708609271523178,0.0,0.04039735099337749,0.01192052980132452,0.48476821192052977,0.49867549668874167,0.4874172185430463,0.4927152317880795,0.48476821192052977,0.03774834437086094
N2,>MN221804,0.0437086092715232,0.03907284768211916,0.04039735099337749,0.0,0.035099337748344395,0.48543046357615893,0.49006622516556286,0.48543046357615893,0.4841059602649007,0.48476821192052977,0.03576158940397356
N2,>CY092315,0.030463576158940353,0.03774834437086094,0.01192052980132452,0.035099337748344395,0.0,0.4874172185430463,0.49403973509933774,0.48874172185430464,0.49006622516556286,0.4860927152317881,0.03841059602649011
N8,>CY049806,0.4774834437086093,0.47284768211920525,0.48476821192052977,0.48543046357615893,0.4874172185430463,0.0,0.1642384105960265,0.11258278145695366,0.2291390728476821,0.11721854304635759,0.47086092715231787
N8,>KX978907,0.5039735099337748,0.5019867549668875,0.49867549668874167,0.49006622516556286,0.49403973509933774,0.1642384105960265,0.0,0.1781456953642384,0.2185430463576159,0.1801324503311258,0.5026490066225165
N8,>KP732677,0.480794701986755,0.47483443708609274,0.4874172185430463,0.48543046357615893,0.48874172185430464,0.11258278145695366,0.1781456953642384,0.0,0.24238410596026494,0.02384105960264904,0.4741721854304636
N8,>KX351550,0.5033112582781457,0.49735099337748345,0.4927152317880795,0.4841059602649007,0.49006622516556286,0.2291390728476821,0.2185430463576159,0.24238410596026494,0.0,0.24701986754966887,0.49933774834437084
N8,>KX297934,0.48013245033112584,0.4754966887417219,0.48476821192052977,0.48476821192052977,0.4860927152317881,0.11721854304635759,0.1801324503311258,0.02384105960264904,0.24701986754966887,0.0,0.47483443708609274
error,>MG925516,0.01192052980132452,0.007284768211920478,0.03774834437086094,0.03576158940397356,0.03841059602649011,0.47086092715231787,0.5026490066225165,0.4741721854304636,0.49933774834437084,0.47483443708609274,0.0
