accession,H16,H13
>MH498778,1.0,0.7603468663776113
>MF682848,1.0,0.8189786585365852
>KX979327,1.0,0.8003824091778202
>KX978913,1.0,0.8031854379977249
>KX979541,1.0,0.7974971558589308
>KX978076,1.0,0.8046282245827011
>KX978980,1.0,0.8110687022900763
>KX979063,1.0,0.8003824091778202
>KX978876,1.0,0.8011472275334609
>KX979544,1.0,0.8046282245827011
>KX979380,1.0,0.8042569365260357
>MF682844,1.0,0.8022103658536585
>KX978929,1.0,0.8003824091778202
>MF575207,1.0,0.8072936660268717
>KR087564,1.0,0.8517946738710923
>MF147289,1.0,0.8107074569789676
>MF147869,1.0,0.8087222647283854
>CY185569,1.0,0.8734615384615384
>CY185489,1.0,0.8608831574833917
>MF461180,1.0,0.8241379310344827
>MH201562,1.0,0.8227703984819738
>MH499037,1.0,0.7661069894572434
>LC339627,1.0,0.8434420015163003
>AB284988,1.0,0.8502673796791443
>AB285094,1.0,0.8504240555127216
>MK696134,1.0,0.7541920731707317
>MH499238,1.0,0.7627852084972463
>MH596987,1.0,0.7289062500000001
>KR010435,1.0,0.8715422508525956
>MN210139,1.0,0.871587850826605
>CY196611,1.0,0.8599397590361443
>CY213636,1.0,0.7484375000000001
>CY213535,1.0,0.7460753532182105
>CY213663,1.0,0.7485265225933203
>MN210163,1.0,0.8733691481197238
>MN210171,1.0,0.8742791234140715
>MN210179,1.0,0.8708189158016146
>MN210195,1.0,0.8749040675364546
>MN210203,1.0,0.8749040675364546
>MN210211,1.0,0.8749040675364546
>MN210220,1.0,0.8749040675364546
>MN210228,1.0,0.8749040675364546
>MN210236,1.0,0.8749040675364546
>MN210252,1.0,0.8747606281118343
>CY130340,1.0,0.8517958412098299
>CY130086,1.0,0.7969348659003833
>AB292664,1.0,0.7996970844377129
>CY014694,1.0,0.7609848484848485
>D90308,1.0,0.8116322701688558
>CY195663,1.0,0.7586605080831408
>KF612959,1.0,0.8109733183013906
>MK637080,1.0,0.7479954180985109
>MH499142,1.0,0.7625786163522014
>MH499186,1.0,0.766861598440546
>MH498919,1.0,0.764453125
>MH499244,1.0,0.7649122807017544
>MH498862,1.0,0.7635294117647058
>MH498888,1.0,0.7639921722113503
>MH498698,1.0,0.7716627634660421
>MH579147,1.0,0.7600468201326572
>MK637221,1.0,0.7484756097560975
>MK637291,1.0,0.7479954180985109
>MK637376,1.0,0.7513389441469014
>MK637356,1.0,0.7479954180985109
>MK637038,1.0,0.7484756097560975
>MK637365,1.0,0.7489539748953976
>MK637396,1.0,0.7479954180985109
>MK637116,1.0,0.7475133894414691
>MK345840,1.0,0.7446560435289545
>MH068359,1.0,0.7345440494590417
>MH068367,1.0,0.726643598615917
>CY128958,1.0,0.7486144101346003
>KJ907711,1.0,0.8692686623721108
>GQ907310,1.0,0.8547271329746348
>GQ907318,1.0,0.8594051757435303
>MN783529,1.0,0.7477652545666537
>MK627734,1.0,0.7557549746390949
>CY195647,1.0,0.7470862470862473
>MH764160,1.0,0.7386231038506417
>MH764168,1.0,0.7359073359073359
>MH764229,1.0,0.7343144848954298
>MH764245,1.0,0.7414330218068537
>MH764253,1.0,0.7442584663293109
>CY145939,1.0,0.7413385826771653
>MH501657,1.0,0.7504813246053138
>MH502664,1.0,0.7429906542056076
>MH579323,1.0,0.7444359171143513
>MH499147,1.0,0.7703125
>KJ372720,1.0,0.6340706247574698
>CY185497,1.0,0.8613785136696188
>CY185601,1.0,0.8557874762808347
>CY185609,1.0,0.8499810102544625
>CY185673,1.0,0.8613899613899613
>CY185665,1.0,0.8613899613899613
