serotype,,N1,N1,N1,N1,N1,N3,N3,N3,N3,N3,error
accession,,>GQ257406,>CY128920,>CY076647,>KY063954,>CY179325,>AB298282,>KY013790,>KX960432,>KF042067,>KX977686,>MK237837
serotype,accession,,,,,,,,,,,
N1,>GQ257406,0.0,0.07549668874172188,0.07549668874172188,0.09602649006622521,0.050331125827814516,0.47814569536423845,0.49072847682119203,0.4933774834437086,0.4860927152317881,0.49867549668874167,0.09602649006622521
N1,>CY128920,0.07549668874172188,0.0,0.045695364238410585,0.08675496688741724,0.07152317880794701,0.4774834437086093,0.4880794701986755,0.49205298013245036,0.48874172185430464,0.4947019867549669,0.06490066225165558
N1,>CY076647,0.07549668874172188,0.045695364238410585,0.0,0.08543046357615891,0.07152317880794701,0.4741721854304636,0.4860927152317881,0.49006622516556286,0.48675496688741726,0.4966887417218543,0.052980132450331174
N1,>KY063954,0.09602649006622521,0.08675496688741724,0.08543046357615891,0.0,0.09999999999999998,0.49403973509933774,0.5,0.4774834437086093,0.5059602649006623,0.48145695364238406,0.07350993377483439
N1,>CY179325,0.050331125827814516,0.07152317880794701,0.07152317880794701,0.09999999999999998,0.0,0.4774834437086093,0.4874172185430463,0.49006622516556286,0.48874172185430464,0.5026490066225165,0.08940397350993379
N3,>AB298282,0.47814569536423845,0.4774834437086093,0.4741721854304636,0.49403973509933774,0.4774834437086093,0.0,0.12847682119205295,0.15165562913907282,0.07086092715231784,0.27682119205298017,0.4933774834437086
N3,>KY013790,0.49072847682119203,0.4880794701986755,0.4860927152317881,0.5,0.4874172185430463,0.12847682119205295,0.0,0.0437086092715232,0.1397350993377483,0.27549668874172184,0.49933774834437084
N3,>KX960432,0.4933774834437086,0.49205298013245036,0.49006622516556286,0.4774834437086093,0.49006622516556286,0.15165562913907282,0.0437086092715232,0.0,0.17152317880794699,0.24900662251655625,0.480794701986755
N3,>KF042067,0.4860927152317881,0.48874172185430464,0.48675496688741726,0.5059602649006623,0.48874172185430464,0.07086092715231784,0.1397350993377483,0.17152317880794699,0.0,0.2794701986754967,0.5026490066225165
N3,>KX977686,0.49867549668874167,0.4947019867549669,0.4966887417218543,0.48145695364238406,0.5026490066225165,0.27682119205298017,0.27549668874172184,0.24900662251655625,0.2794701986754967,0.0,0.48543046357615893
error,>MK237837,0.09602649006622521,0.06490066225165558,0.052980132450331174,0.07350993377483439,0.08940397350993379,0.4933774834437086,0.49933774834437084,0.480794701986755,0.5026490066225165,0.48543046357615893,0.0
