accession,H16,H13
>MH498778,1.0,0.7587301587301588
>MF682848,1.0,0.8198614318706697
>KX979327,1.0,0.7978478093774021
>KX978913,1.0,0.805065234075211
>KX979541,1.0,0.7986963190184049
>KX978076,1.0,0.8038167938931298
>KX978980,1.0,0.8105506353484789
>KX979063,1.0,0.7978478093774021
>KX978876,1.0,0.7980769230769232
>KX979544,1.0,0.8038167938931298
>KX979380,1.0,0.8034416826003822
>MF682844,1.0,0.7988505747126439
>KX978929,1.0,0.7978478093774021
>MF575207,1.0,0.8032345013477089
>KR087564,1.0,0.8407692307692308
>MF147289,1.0,0.8101851851851852
>MF147869,1.0,0.8078703703703703
>CY185569,1.0,0.8710801393728222
>CY185489,1.0,0.8420038535645472
>MF461180,1.0,0.8249419054996125
